3K_DNA_IRIS_UNIQUE_ID	Genetic_Stock_varname	AWPR_REPRO	CUDI_CODE_REPRO	CULT_CODE_REPRO	CUNO_CODE_REPRO	LLT_CODE	PLT_CODE_POST	SDHT_CODE	APANTH_REPRO	APSH	APCO_REV_POST	APCO_REV_REPRO	AWCO_LREV	AWCO_REV	AWDIST	BLANTHPR_VEG	BLANTHDI_VEG	BLPUB_VEG	BLSCO_ANTH_VEG	BLSCO_REV_VEG	CCO_REV_VEG	CUAN_REPRO	ENDO	FLA_EREPRO	FLA_REPRO	INANTH	LIGCO_REV_VEG	LIGSH	LPCO_REV_POST	LPPUB	LSEN	NOANTH	PEX_REPRO	PTH	SCCO_REV	SECOND_BR_REPRO	SLCO_REV	SPKF	SLLT_CODE	AUCO_REV_VEG	BLCO_REV_VEG	CUST_REPRO	INCO_REV_REPRO	LA	NOCO_REV	PA_REPRO	PSH	PTY
IRIS_313-11268	ARC_14398::IRGC_41544-2	0.0	2.0	6.0	2.0	3.0	4.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	42.0	5.0	9.0		7.0	3.0	10.0	1.0	20.0	4.0	3.0	61.0	61.0	3.0	60.0	9.0		2.0	1.0	5.0
IRIS_313-11295	ARC_11397::IRGC_42664-1	0.0	1.0	5.0	2.0	3.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	1.0	1.0		3.0		11.0	3.0	20.0	2.0	9.0		5.0	3.0	10.0	1.0	20.0	3.0	1.0	61.0	60.0	5.0	41.0	2.0		2.0	1.0	5.0
IRIS_313-11296	ARC_12800::IRGC_42720-2	0.0	2.0	4.0	2.0	3.0	3.0	3.0				20.0		0.0				3.0		60.0	61.0	5.0	1.0		3.0		11.0	3.0	20.0	2.0	5.0		9.0	3.0	70.0	1.0	20.0	5.0	1.0	61.0	60.0	3.0	41.0	3.0	60.0	2.0	1.0	5.0
IRIS_313-11297	ARC_13460::IRGC_42732-2	0.0	1.0	4.0	2.0	3.0	3.0	2.0				80.0		0.0				3.0		60.0	61.0	1.0	1.0		3.0		11.0	3.0	42.0	3.0	7.0		5.0	3.0	10.0	1.0	20.0	4.0	3.0	61.0	89.0	1.0	60.0	3.0		2.0	1.0	5.0
IRIS_313-11298	ARC_13544::IRGC_42743-1	0.0	2.0	6.0	2.0	3.0	3.0	2.0				80.0		0.0				3.0		80.0	80.0	3.0	1.0		5.0		84.0	3.0	90.0	4.0	7.0		9.0	2.0	70.0	1.0	80.0	4.0	1.0	80.0	89.0	1.0	80.0	7.0		2.0	3.0	5.0
IRIS_313-11299	ARC_14299::IRGC_42889-2	0.0	2.0	6.0	2.0	4.0	3.0	2.0				80.0		0.0				3.0		81.0	80.0	3.0	2.0		7.0		80.0	3.0	52.0	4.0	9.0		9.0	3.0	80.0	1.0	80.0	4.0	3.0	80.0	89.0	3.0	84.0	5.0		2.0	3.0	5.0
IRIS_313-11300	ARC_14709::IRGC_42976-2	1.0	2.0	7.0	2.0	4.0	2.0	2.0				80.0		80.0				3.0		80.0	80.0	5.0	1.0		7.0		84.0	3.0	80.0	5.0	7.0		7.0	3.0	10.0	1.0	80.0	4.0	3.0	80.0	60.0	5.0	84.0	3.0		2.0	3.0	3.0
IRIS_313-11301	ARC_14868::IRGC_43009-2	0.0	1.0	6.0	2.0	4.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	20.0	2.0	9.0		9.0	3.0	10.0	1.0	20.0	4.0	3.0	61.0	61.0	3.0	60.0	5.0		2.0	1.0	5.0
IRIS_313-11302	ARC_14899::IRGC_43016-1	1.0	2.0	7.0	2.0	4.0	3.0	2.0			80.0	80.0		80.0				3.0		84.0	80.0	3.0	1.0		3.0		11.0	3.0	54.0	3.0	7.0		9.0	2.0	70.0	3.0	20.0	4.0	3.0	80.0	85.0	3.0	41.0	5.0	80.0	2.0	3.0	5.0
IRIS_313-11303	ARC_15097::IRGC_43053-1	0.0	2.0	6.0	2.0	3.0	3.0	3.0				80.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	20.0	2.0	5.0		9.0	3.0	10.0	1.0	70.0	4.0	1.0	61.0	60.0	3.0	84.0	2.0	60.0	2.0	1.0	9.0
IRIS_313-11304	ARC_15163::IRGC_43106-1	0.0	2.0	6.0	2.0	4.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		3.0		11.0	3.0	20.0	2.0	5.0		9.0	3.0	10.0	1.0	20.0	4.0	3.0	61.0	60.0	1.0	60.0	7.0		2.0	1.0	5.0
IRIS_313-11269	ARC_14632::IRGC_41650-2	0.0	2.0	6.0	2.0	4.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	20.0	3.0	9.0		9.0	3.0	10.0	1.0	20.0	5.0	3.0	61.0	60.0	3.0	60.0	3.0		2.0	1.0	3.0
IRIS_313-11305	ARC_15373::IRGC_43166-2	0.0	2.0	7.0	2.0	4.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	42.0	4.0	9.0		9.0	3.0	10.0	1.0	20.0	4.0	3.0	61.0	60.0	4.0	60.0	5.0		2.0	1.0	8.0
IRIS_313-11306	ARC_15385::IRGC_43174-1	0.0	2.0	6.0	2.0	4.0	2.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	20.0	2.0	7.0		9.0	3.0	10.0	1.0	20.0	4.0	1.0	61.0	60.0	3.0	60.0	1.0		2.0	1.0	5.0
IRIS_313-11307	ARC_15387::IRGC_43175-2	0.0	2.0	7.0	2.0	4.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	1.0	1.0		5.0		11.0	3.0	20.0	4.0	9.0		9.0	3.0	10.0	1.0	20.0	4.0	3.0	61.0	60.0	3.0	60.0	3.0		2.0	1.0	5.0
IRIS_313-11308	ARC_15403::IRGC_43183-2	1.0	2.0	6.0	2.0	3.0	3.0	2.0				70.0		70.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	20.0	4.0	9.0		7.0	2.0	10.0	1.0	20.0	4.0	3.0	61.0	60.0	3.0	60.0	5.0		2.0	1.0	5.0
IRIS_313-11309	ARC_15862::IRGC_43242-1	1.0	2.0	7.0	2.0	3.0	3.0	2.0				20.0		20.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	20.0	2.0	7.0		7.0	1.0	10.0	1.0	20.0	4.0	3.0	61.0	61.0	3.0	60.0	9.0		2.0	1.0	5.0
