3K_DNA_IRIS_UNIQUE_ID	Genetic_Stock_varname	AWPR_REPRO	CUDI_CODE_REPRO	CULT_CODE_REPRO	CUNO_CODE_REPRO	LLT_CODE	PLT_CODE_POST	SDHT_CODE	APANTH_REPRO	APSH	APCO_REV_POST	APCO_REV_REPRO	AWCO_LREV	AWCO_REV	AWDIST	BLANTHPR_VEG	BLANTHDI_VEG	BLPUB_VEG	BLSCO_ANTH_VEG	BLSCO_REV_VEG	CCO_REV_VEG	CUAN_REPRO	ENDO	FLA_EREPRO	FLA_REPRO	INANTH	LIGCO_REV_VEG	LIGSH	LPCO_REV_POST	LPPUB	LSEN	NOANTH	PEX_REPRO	PTH	SCCO_REV	SECOND_BR_REPRO	SLCO_REV	SPKF	SLLT_CODE	AUCO_REV_VEG	BLCO_REV_VEG	CUST_REPRO	INCO_REV_REPRO	LA	NOCO_REV	PA_REPRO	PSH	PTY
CX133	Zhengshan97																																															
CX230	IR_64-IL																																															
CX403	IR_64_A																																															
IRIS_313-11480	PR_106::IRGC_53418-1	0.0	2.0	2.0	2.0	3.0	2.0	2.0				20.0		0.0				3.0		60.0	61.0	1.0	1.0		1.0		11.0	3.0	20.0	2.0	7.0		5.0	3.0	10.0	1.0	20.0	5.0	1.0	61.0	63.0	1.0	60.0	1.0	60.0	2.0	1.0	5.0
IRIS_313-8568	LARHA_MUGAD::IRGC_52339-1	0.0	1.0	3.0	2.0	3.0	3.0	2.0				20.0		0.0				3.0		60.0	60.0	3.0	1.0		5.0		11.0	3.0	20.0	4.0	9.0		9.0	3.0	55.0	1.0	20.0	4.0	3.0	61.0	63.0	3.0	60.0	4.0		2.0	1.0	5.0
IRIS_313-10985	GOBOL_SAIL_(BALAM)::IRGC_26624-2	0.0	1.0	5.0	2.0	4.0	3.0	1.0				10.0		0.0				3.0		60.0	60.0	3.0	1.0		3.0		11.0		54.0		9.0		9.0	2.0	10.0		20.0	4.0	3.0	61.0	60.0	9.0	60.0					9.0
IRIS_313-11708	KHAO_YAI_GUANG::IRGC_65972-1	0.0	2.0	6.0	2.0	4.0	3.0	2.0			20.0	20.0		0.0				3.0		60.0	61.0	5.0	1.0		3.0		11.0	3.0	53.0	4.0	5.0		9.0	3.0	10.0	1.0	20.0	4.0	1.0	61.0	60.0	7.0	41.0	3.0	60.0	2.0	1.0	5.0
IRIS_313-12048	LIMA::IRGC_81487-1	0.0	2.0	7.0	2.0	4.0	3.0	2.0			20.0	20.0		0.0				3.0		60.0	61.0	3.0	1.0		3.0		11.0	3.0	53.0	4.0	5.0		9.0	3.0	10.0	1.0	20.0	4.0	1.0	61.0	60.0	3.0	41.0	5.0	60.0	2.0	1.0	5.0
IRIS_313-10239	LIU_XU::IRGC_109232-1	7.0	2.0	4.0	3.0	3.0	3.0	2.0			20.0	20.0		20.0				3.0		60.0	61.0	5.0	1.0		7.0		11.0	3.0	20.0	4.0	7.0		9.0	3.0	70.0	1.0	20.0	4.0	3.0	61.0	60.0	3.0	60.0	9.0	60.0	2.0	1.0	9.0
CX145	Minghui_63																																															
CX151	AZUCENA																																															
IRIS_313-10841	KETAN_NANGKA::IRGC_19961-2	0.0	2.0	5.0	2.0	4.0	4.0	2.0				10.0		0.0				3.0		60.0	60.0	3.0	2.0		7.0		11.0		42.0		9.0		9.0	1.0	10.0		20.0	4.0	3.0	61.0	60.0	7.0	60.0					5.0
IRIS_313-12029	CHAO_MEO::IRGC_80273-1	0.0	2.0	5.0	2.0	2.0	3.0	2.0			52.0	71.0		0.0				2.0		60.0	61.0	1.0	1.0		7.0		11.0	3.0	20.0	1.0	9.0		9.0	2.0	10.0	1.0	20.0	4.0	3.0	61.0	63.0	1.0	41.0	5.0	60.0	2.0	3.0	5.0
CX140	Nipponbare																																															
IRIS_313-11163	NATEL_BORO::IRGC_34749-1	0.0	2.0	4.0	3.0	3.0	3.0	3.0				20.0		0.0				3.0		60.0	61.0	5.0	1.0		3.0		11.0	3.0	54.0	4.0	3.0		5.0	3.0	70.0	1.0	20.0	4.0	1.0	61.0	60.0	3.0	41.0	2.0	60.0	2.0	3.0	5.0
CX368	N_22																																															
IRIS_313-10150	N_22::IRGC_46459-1	0.0	1.0	5.0	3.0	4.0	3.0	2.0				80.0		0.0				3.0		84.0	61.0	3.0	1.0		3.0		11.0	3.0	20.0	4.0	3.0		5.0	2.0	51.0	1.0		5.0	3.0	61.0	60.0	3.0	60.0	3.0		2.0	1.0	5.0
IRIS_313-8813	ARC_10497::IRGC_12485-1	1.0	2.0	6.0	2.0	4.0	3.0	2.0				80.0		80.0				3.0		84.0	60.0	1.0	1.0		5.0		11.0		80.0		9.0		9.0	2.0	10.0		80.0	4.0	3.0	61.0	60.0	9.0	60.0					1.0
B001	Heibiao																																															
B002	Sansuijin																																															
B003	Zaoshengbai																																															
B004	Qiuguangtengxi_104																																															
B005	Wanshi																																															
B006	Yikong																																															
B007	Tianhandao																																															
B008	Baxiang																																															
B009	Vietnam_Zaodao																																															
B010	Malaihong																																															
B011	CO_22																																															
B012	2037_(Rajahamsal)																																															
B013	Sri_Lanka_1																																															
B014	Wuziluosi_215																																															
B015	Kahamu																																															
B016	Aomierte_168																																															
B017	Aerjituo																																															
B018	American_Huangkedao																																															
B019	Buleida_A-75																																															
B020	Jineiyadao																																															
B021	Seln_244A6-20																																															
B023	Gaoliqiu																																															
B024	Xianluosichi																																															
B025	Djanda_Mandja																																															
B026	Padi_Ladang_Ase_Polo_Komek																																															
B027	C_894-21																																															
B028	IR_10179-23-1-3																																															
B029	Dumai																																															
B030	Jaibattey																																															
B031	Ngatsin																																															
B032	Rohini																																															
B033	BW_293-2																																															
B034	Albania_Rice																																															
B035	American_Rice																																															
B036	Jijucas_Claro																																															
B037	Nanoay_P.A																																															
B038	Nabated_A_Smar																																															
B039	IRAT_10																																															
B040	K_24																																															
B043	YR_83-23-11																																															
B044	Santiannuo																																															
B045	Gongchengxiang																																															
B046	Qiutianxiaoting																																															
B047	Zhenfu_8																																															
B048	CISOKAN																																															
B049	Zacaodao_13																																															
B051	GZ_1368-5-4																																															
B052	J_34																																															
B053	80_A_97_YR_303-304-1-3																																															
B054	80050_YR_72136-43																																															
B055	YR_196																																															
B056	Tieganwu																																															
B057	Xiushui_115																																															
B058	Erjiunan_1																																															
B059	Nanjing_11																																															
B060	Aijiaonante																																															
B061	Guangluai_4																																															
B062	Nantehao																																															
B063	Guizhao_2																																															
B064	Xiangzaoxian_7																																															
B065	Huangsiguizhan																																															
B066	Guangkexiangnuo																																															
B067	Funingzipigengzi																																															
B068	Gaoyangdiandao_dahongmang																																															
B069	Dandongludao																																															
B070	Laoguangtou_83																																															
B071	Muxiqiu																																															
B072	Qiuqianbai																																															
B073	Jinxibai2																																															
B074	Taishannuo																																															
B075	Jinbaoyin																																															
B076	Minbeiwanxian																																															
B077	Yizhixiang																																															
B079	Esiniu																																															
B081	Heidu_4																																															
B082	Qiyuexian																																															
B083	Dongtingwanxian																																															
B084	Bawangbian_1																																															
B085	Xugunuo																																															
B086	Muguanuo																																															
B087	Zhongnong_4																																															
B088	San**Qishiluo																																															
B089	Qitoubaigu3																																															
B090	Zimi																																															
B091	Xiaohonggu																																															
B092	Gongju_73																																															
B093	Qitougu																																															
B094	Zinuo																																															
B095	Mowangguneiza																																															
B096	Jinzhinuo4																																															
B097	Jiienuo																																															
B100	Hongkezhenuo																																															
B101	Yangkenuo																																															
B102	Maguzi																																															
B103	Laohongdao																																															
B104	Jiabala																																															
B105	Baoxuan_21																																															
B106	Wenxiangnuo																																															
B107	Dawannuo																																															
B108	Xianggu																																															
B109	Lengshuigu_2																																															
B110	Huangpinuo																																															
B111	Zimangfeie																																															
B112	Liusha_1																																															
B113	Chenwan_3																																															
B114	Chengduai_3																																															
B115	Aimakang																																															
B116	Shufeng_101																																															
B117	Lixingeng																																															
B118	Ergangai																																															
B119	Guangluai_15-1																																															
B120	Hongwan_1																																															
B121	Luke_3																																															
B122	Liaogeng_287																																															
B123	Zaoshuxiangheimi																																															
B124	Geng_87-304																																															
B125	Xiangwanxian_3																																															
B126	Zaoxian_240																																															
B127	Dangyu_5																																															
B128	Sibeitizhao_6																																															
B129	Hongainuo																																															
B130	Wanlixian																																															
B131	Aizizhan																																															
B132	Xiaobaimi																																															
B133	Yanshuichi																																															
B134	Xishi_15																																															
B135	Honggenghangu3																																															
B136	Yuyannuo																																															
B137	80B																																															
B138	Gu_154																																															
B139	IR_661-1																																															
B140	Pei_C122																																															
B141	Geng_7623																																															
B142	Ninghui_21																																															
B143	76--1																																															
B144	Huhui_628																																															
B145	Teqingxuanhui																																															
B146	JWR_221																																															
B147	Baikehanhe																																															
B148	Lengshuinuo																																															
B149	Haoxiang																																															
B150	L_301B																																															
B151	Jinnante_43B																																															
B152	Zaoshunonghu_6																																															
B153	Qingsiai_16B																																															
B154	Liming_B																																															
B155	Baoxie-7B																																															
B156	G_Zhenshan_97B																																															
B157	88B																																															
B158	Taizhong_65/taizhongHR539																																															
B159	Taizhongzailai_1/taizhong65																																															
B160	Shuiyuan_300Li																																															
B161	Yelicanghua																																															
B162	Baigedao																																															
B163	Liushizao																																															
B164	Qingke																																															
B165	Haohuangla																																															
B166	Jianghuadao																																															
B167	Qingjinzaosheng																																															
B168	Zhuyuan																																															
B169	Ailuyu																																															
B170	Hongse_90																																															
B171	Linguo																																															
B173	Tjantajan																																															
B176	BRC_25-146-2-1																																															
B179	Keluoduo_B																																															
B180	P1790-5-1M-4-5M-1B-3M-B																																															
B181	71011																																															
B182	Chimao																																															
B183	Qingnuo_Kyohatamochi																																															
B184	CHANH_148																																															
B185	SLK_2-18-2																																															
B187	RP_1570-44-1																																															
B188	IRAT_36																																															
B189	IRAT_669																																															
B190	ITA_221																																															
B191	80_A_60_YR_71009-1-5																																															
B192	R_42																																															
B193	C.MEDIO_7																																															
B194	ECIA_179-S13																																															
B195	PMS_10B																																															
B196	Taidongludao																																															
B197	Taizhongxianxuan_2																																															
B198	Jiefangxian																																															
B199	Hongmisandan																																															
B200	Jinyou_1																																															
B201	Chengnongshuijing																																															
B202	Baoxie_123B																																															
B203	Biwusheng																																															
B204	Longhuamaohu																																															
B205	Cunsanli																																															
B207	Aihechi																																															
B208	Lucaihao																																															
B210	Nanxiongzaoyouzhan																																															
B212	Chikenuo																																															
B213	Liuyenian																																															
B214	Xuanenchangtanqingzhan																																															
B215	Hongqi_5																																															
B216	Hanmadao4																																															
B217	Honggu																																															
B218	Wuzidui																																															
B219	Haolai																																															
B221	Fanhaopi																																															
B222	Beizinuo																																															
B223	Cungunuo																																															
B224	Younian																																															
B225	Guantuibaihe_1																																															
B226	Heimangdao																																															
B227	Menjiagao_1																																															
B228	Haobayong_1																																															
B229	Menjiading_2																																															
B230	Banjiemang2																																															
B232	Xiangaizao_10hao																																															
B233	Xiangwanxian_1																																															
B234	Aituogu_151																																															
B235	Zhonghua_8																																															
B236	Jindao_1																																															
B238	Momi																																															
B239	Zhendao_232																																															
B240	Zhengdao_5																																															
B241	Lamujia																																															
B242	Gui_630																																															
B243	Huhui_91269																																															
B244	Xiangdao																																															
B245	Shanjiugu																																															
B246	Laozaogu																																															
B247	Jinnante_B																																															
B248	Zhuzhen_B																																															
B249	Chaoyangyihao_B																																															
B250	Annongwangeng_B																																															
B252	Xiangai_B																																															
B253	Jiangnongzao_1_B																																															
B254	Jinghu3_B																																															
B255	Dianrui_409B																																															
B258	Xingguo																																															
B259	Leihuozhan																																															
B260	Mamagu																																															
B261	Meihuanuo																																															
B263	Weiguo																																															
B264	Sanbaili																																															
B265	Wukezhan																																															
B266	Haomake_(K)																																															
B267																																																
B268	Nangaogu																																															
B269	Yuefu																																															
CX10	Gang_46B																																															
CX100	Palung_2																																															
CX101	Hei_Mi_Chan																																															
CX102	Tek_Si_Chut																																															
CX103	Rubio																																															
CX104	Sadri_rice_1																																															
CX106	SAL_BUI_BAO																																															
CX107	Tun_Sart																																															
CX108	Ziri																																															
CX109	Dacca_6																																															
CX11	Gumei_2																																															
CX110	UP_15																																															
CX111	Giza_14																																															
CX112	Ginga																																															
CX113	Biniapan																																															
CX114	Guang_Lu_Ai_4																																															
CX115	Yun_hui_72																																															
CX116	Wudadaozhong																																															
CX117	IR_65600-27-1-2-2																																															
CX118	Yetuozai																																															
CX119	P59279																																															
CX12	Huagengxian_74																																															
CX120	TKM_6																																															
CX121	Guang122																																															
CX122	Tai-Zhong-Xian_10																																															
CX123	Yu_Qiu_Gu																																															
CX124	IR_71466-75-3-B-1																																															
CX125	CAOZHAO-2																																															
CX126	IRBB_60																																															
CX128	Gajale																																															
CX129	MOLOK																																															
CX13	R644																																															
CX130	CHIPDA																																															
CX131	ZALE																																															
CX132	AP_423																																															
CX134	IRBB_7																																															
CX138	Qd_441																																															
CX139	Amareles																																															
CX14	Chennong_265																																															
CX141	Padi_Siam_Kuning																																															
CX142	Ai_Yeh_Lu																																															
CX143	Khasar																																															
CX144	Hta_7204																																															
CX146	CO_43																																															
CX147	Seberang																																															
CX148	Sri_Raja																																															
CX149	Karnal_Local																																															
CX15	Y_134																																															
CX150	Chorofa																																															
CX152	Cisadane																																															
CX153	Jalmagna																																															
CX154	Khao_Dawk_Mali_105																																															
CX155	Madhukar																																															
CX156	MR_84																																															
CX157	PTB_33																																															
CX158	Shwe_War_Tun																																															
CX16	Yuan__jing__7																																															
CX160	W_1263																																															
CX161	IR_42																																															
CX162	TN1																																															
CX165	Wuyugeng_3																																															
CX17	Yuexiangzhan																																															
CX18	Zaoxian_14																																															
CX182	SLG_1																																															
CX19	Zhong_413																																															
CX2	BR_11																																															
CX20	Zihui_100																																															
CX205	IR_69428-6-1-1-3-3																																															
CX206	IR_2061-522-6-9																																															
CX207	Gaozi																																															
CX21	BG_90-2																																															
CX210	Qb_604																																															
CX211	M_3122																																															
CX212	Nongken_58																																															
CX213	Chennong_89366																																															
CX214	Brazil_Nuodao																																															
CX218	Type_3																																															
CX219	FL_478																																															
CX22	PR_106																																															
CX220	IRAT_109																																															
CX221	Zhongyouzao_81																																															
CX225	IR_77298-14-1-2																																															
CX226	IR_06G113																																															
CX227	KASALATH																																															
CX228	Bala																																															
CX23	Rasi																																															
CX231	IR_52561-UBN-1-1-2																																															
CX232	IR_55419-04																																															
CX233	IR_58821-23-1-3-1																																															
CX234	IR_62266-42-6-2																																															
CX235	NSIC_RC_9																																															
CX236	Vandana																																															
CX237	B_6136-3-TB-0-1-5																																															
CX238	BW_311-9																																															
CX24	TKM_9																																															
CX240	Carijo																																															
CX241	IAC_47																																															
CX242	IR_47686-4-4-B-1																																															
CX243	IR_47686-6-2-1-1																																															
CX247	IRAT_144																																															
CX248	Kinandang_Patong																																															
CX249	2004																																															
CX25	Cisanggarung																																															
CX250	829																																															
CX251	Xudao_4																																															
CX26	Amol3(Sana)																																															
CX262	IAC_3																																															
CX263	PADISENEMOK																																															
CX265	MONOLAYA																																															
CX266	DINORADO																																															
CX267	IET_1444																																															
CX268	ARROZVERMELHO																																															
CX269	IAC_165																																															
CX27	Khazar																																															
CX270	TAICHUNGNATIVE1																																															
CX273	NONA_BOKRA																																															
CX274	IR_26																																															
CX275	IR_34																																															
CX276	IR_8192-200-3-3-1-1																																															
CX277	02428-IL																																															
CX278	IR_68																																															
CX28	Gayabyeo																																															
CX280	Maravilha																																															
CX281	IR_68897_B																																															
CX282	Lijiangxintuanheigu																																															
CX284	Han_502																																															
CX285	Nonglinnuo																																															
CX286	C_349																																															
CX287	C52																																															
CX288	D_11																																															
CX29	Milyang_23																																															
CX290	Duo_57																																															
CX291	D_15																																															
CX296	IR_74																																															
CX3	BR_24																																															
CX30	MR_185																																															
CX303	LX_2007																																															
CX304	Luyin_46																																															
CX305	ZH_5																																															
CX306	Mongolia_Rice																																															
CX307	HP_121																																															
CX31	Hnankar																																															
CX313	R106																																															
CX314	117																																															
CX315	Zidao																																															
CX316	MR_39																																															
CX317	MR_19																																															
CX318	Heiheaihui																																															
CX319	Mengguandamagu																																															
CX32	Manauthukha																																															
CX328	Baoxuan_21																																															
CX329	Jinchuanyihao																																															
CX33	Shwe_Thwe_Yin_Hyv																																															
CX330	Yueguang																																															
CX34	BG_300																																															
CX340	Hua_564																																															
CX341	Hua_565																																															
CX342	Wanxian_763																																															
CX343	Wanxian_77																																															
CX344	Hexi_41																																															
CX345	Yungeng_23																																															
CX346	SAGC-4																																															
CX347	SAGC-7																																															
CX348	Zhonghua_1																																															
CX349	KCD_1																																															
CX35	BG_94-1																																															
CX350	Wuyugeng_20																																															
CX351	053_A-3																																															
CX352	BD_007																																															
CX353	CAU_1																																															
CX354	CAU_2																																															
CX355	Yunlu_102																																															
CX356	Yandao_8																																															
CX357	PSBRC_80																																															
CX358	PSBRC_82																																															
CX359	Yunlu_103																																															
CX360	Y075																																															
CX361	G341																																															
CX362	YZX1																																															
CX363	YZX2																																															
CX364	42686																																															
CX365	Compact_Plant_Type_Material																																															
CX366	Ganwanxian_37_(926)																																															
CX367	Haogelao																																															
CX369	IRBB_62																																															
CX37	OM_997																																															
CX370	Chenghui_727																																															
CX371	NERICA_1																																															
CX372	NERICA_2																																															
CX373	NERICA_8																																															
CX374	NERICA_9																																															
CX375	NERICA-L-1																																															
CX376	NERICA-L-20																																															
CX377	NERICA-L-27																																															
CX378	Huhan_15																																															
CX379	Nionoka																																															
CX380	Yandao_9																																															
CX381	Adny_11																																															
CX382	Kogomg_1-1																																															
CX383	Hongza																																															
CX384	Fengza																																															
CX385	NPT-100																																															
CX386	NPT-114																																															
CX387	1088																																															
CX388	KR_200																																															
CX389	Jinyuan_85																																															
CX390	Yuelianggu																																															
CX391	YJ_30																																															
CX392	SARD																																															
CX393	Huangsizhan																																															
CX394	Molizhanxuan																																															
CX395	YSBR_1																																															
CX396	Guandong_194_(Soft_Rice)																																															
CX397	Nangeng_46_(Soft_Rice)																																															
CX399	Matatag_2																																															
CX4	93072																																															
CX400	TOG_5674																																															
CX401	TOG_7291																																															
CX402	TOG_6542																																															
CX42	IR_68552-55-3-2																																															
CX43	IR_66897_B																																															
CX431	Duoxi_1																																															
CX44	IR_58025_B																																															
CX45	Dhan_4																																															
CX46	Pusa_(Basmati_1)																																															
CX47	Diangeng																																															
CX48	PT_60																																															
CX49	NAN-29-2																																															
CX5	108S																																															
CX50	Ai_Zi_DAO																																															
CX51	Babaomi																																															
CX52	Diandun_502																																															
CX53	Jiangxisimiao																																															
CX534	Tongnian_1																																															
CX54	Linyitangdao																																															
CX542	RR2-6																																															
CX548	Zhongjian_100																																															
CX55	Pengshantieganzhan																																															
CX56	Yunguang_8																																															
CX57	Zhongchao_123																																															
CX58	Giza_159																																															
CX59	Milagrosa,_Zawa_Banday																																															
CX6	C418																																															
CX60	Basmati																																															
CX61	Bhavani																																															
CX63	Jhona_349																																															
CX64	IRAT_352																																															
CX65	Domsiah																																															
CX66	Tarom_molaii																																															
CX67	Binam																																															
CX68	MR_106																																															
CX69	MR_167																																															
CX70	MR_77_(Seberang)																																															
CX71	Innmayebaw																																															
CX72	Basmati_385																																															
CX73	IR_6																																															
CX74	JP-5																																															
CX75	At_354																																															
CX76	BG_304																																															
CX77	Lemont																																															
CX78	M_401																																															
CX79	Cs_94																																															
CX8	Chenghui_448																																															
CX80	OM_1706																																															
CX82	X_21																																															
CX83	X_22																																															
CX84	X_23																																															
CX85	C_71																																															
CX86	C_70																																															
CX87	Q_5																																															
CX88	Huanyangnian																																															
CX89	M_202																																															
CX9	Fengaizhan																																															
CX90	Chhomromg																																															
CX91	Govind																																															
CX92	UPR_191-66																																															
CX93	TGMS_29																																															
CX94	Swarna																																															
CX96	Ajaya																																															
CX97	Budda																																															
CX98	Doddabyranella																																															
CX99	Doddi																																															
IRIS_313-15896	FEDEARROZ_50::G1																																															
IRIS_313-15897	SANHUANGZHAN_NO_2::G1																																															
IRIS_313-15898	IR_4630-22-2-5-1-3::G1																																															
IRIS_313-15899	IR_45427-2B-2-2B-1-1::G1																																															
IRIS_313-15900	IR_07F287::G1																																															
IRIS_313-15901	IR_77298-14-1-2-10::G1																																															
IRIS_313-15902	IRRI_146::G1																																															
IRIS_313-15903	IAC_165::IRGC_82775-2																																															
IRIS_313-15904	JINBUBYEO::G1																																															
IRIS_313-15905	WAB_56-125::IRTP_19771-G1																																															
IRIS_313-15906	IR_73571-3B-11-3-K2::G1																																															
IRIS_313-15907	INIA_TACUARI::G1																																															
IRIS_313-15908	COLOMBIA_XXI::G1																																															
IRIS_313-15909	IET_14720::IRTP_23179-G1																																															
IRIS_313-15910	CYPRESS::IRTP_19532-G1																																															
IRIS_313-9939	CIWINI_SML::IRGC_50642-1	0.0	1.0	3.0	2.0	3.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	1.0	1.0		1.0		11.0	3.0	20.0	4.0	9.0		5.0	3.0	10.0	1.0	20.0	4.0	3.0	61.0	63.0	1.0	41.0	1.0		2.0	1.0	5.0
IRIS_313-8712	ARC_13829::IRGC_42469-1	1.0	2.0	7.0	2.0	4.0	3.0	2.0				80.0		80.0				3.0		84.0	61.0	3.0	1.0		3.0		11.0	3.0	80.0	4.0	9.0		9.0	3.0	10.0	1.0	80.0	5.0	3.0	61.0	85.0	5.0	60.0	2.0		2.0	3.0	5.0
IRIS_313-8747	DOM_ZARD::IRGC_12881-1	9.0	1.0	5.0	2.0	3.0	3.0	2.0				52.0		40.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	53.0	3.0	9.0		9.0	1.0	10.0	1.0	20.0	4.0	3.0	61.0	60.0	5.0	41.0	5.0		2.0	1.0	7.0
IRIS_313-8814	SHANKA::IRGC_67848-1	0.0	1.0	5.0	2.0	3.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	1.0	1.0		3.0		11.0	3.0	20.0	4.0	7.0		7.0	2.0	10.0	1.0	20.0	5.0	3.0	61.0	60.0	3.0	41.0	5.0		2.0	1.0	3.0
IRIS_313-9629	JC_157::IRGC_9074-1	0.0	2.0	5.0	2.0	4.0	4.0	1.0				80.0		0.0				3.0		60.0	60.0	1.0	1.0		1.0		11.0		20.0		1.0		9.0	2.0	10.0		80.0	4.0	3.0	61.0	60.0	1.0	80.0					9.0
IRIS_313-8252	JAGLI_BORO::IRGC_27516-2	5.0	1.0	4.0	3.0	2.0	2.0	2.0				10.0		20.0				3.0		60.0	60.0	7.0	1.0		3.0		11.0		54.0		9.0		9.0	3.0	70.0			4.0	3.0	61.0	60.0	7.0	60.0					1.0
IRIS_313-8321	BHADOIA_303::IRGC_6588-1	5.0	2.0	5.0	3.0	3.0	3.0	1.0				80.0		20.0				3.0		84.0	60.0	1.0	1.0		5.0		11.0		20.0		1.0		9.0	2.0	70.0			4.0	5.0	61.0	60.0	9.0	60.0					9.0
IRIS_313-8390	SUFAID_246::IRGC_28303-1	1.0	1.0	4.0	2.0	3.0	4.0	2.0				70.0		70.0				3.0		60.0	60.0	7.0	1.0		5.0		11.0		42.0		9.0		9.0	3.0	10.0		20.0	3.0	3.0	61.0	60.0	9.0	60.0					5.0
IRIS_313-8398	KHARSU_80::IRGC_28016-1	5.0	1.0	2.0	2.0	2.0	2.0	2.0				70.0		20.0				3.0		80.0	60.0	7.0	1.0		1.0		11.0		100.0		9.0		3.0	3.0	70.0			4.0	3.0	61.0	85.0	7.0	60.0					1.0
IRIS_313-8410	JABOR_SAIL::IRGC_66831-1	0.0	1.0	4.0	2.0	3.0	3.0	2.0				20.0		0.0				2.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	20.0	4.0	3.0		3.0	3.0	70.0	1.0	20.0	4.0	3.0	61.0	60.0	7.0	41.0	5.0		2.0	1.0	3.0
IRIS_313-8554	ARC_11959::IRGC_21780-1	0.0	2.0	6.0	2.0	3.0	4.0	2.0				10.0		0.0				3.0		60.0	60.0	3.0	1.0		5.0		11.0		53.0		9.0		9.0	3.0	70.0		20.0	4.0	3.0	61.0	60.0	7.0	60.0					5.0
IRIS_313-8721	HOLOI_BASH_(SOLOI_BASH)::IRGC_64778-1	1.0	2.0	4.0	2.0	2.0	3.0	2.0				20.0		20.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	20.0	4.0	5.0		5.0	3.0	70.0	1.0	20.0	4.0	3.0	61.0	60.0	3.0	60.0	4.0		2.0	1.0	5.0
IRIS_313-8963	BATHURI::IRGC_25838-1	1.0	1.0	4.0	3.0	4.0	2.0	1.0				10.0		20.0				3.0		60.0	60.0	7.0	1.0		5.0		11.0		54.0		9.0		3.0	3.0	70.0		20.0	3.0	3.0	61.0	60.0	7.0	60.0					5.0
IRIS_313-9137	ARC_10100::IRGC_20709-1	0.0	2.0	5.0	1.0	3.0	3.0	2.0				80.0		0.0				3.0		84.0	60.0	7.0	1.0		3.0		11.0		42.0		9.0		3.0	2.0	10.0		80.0	4.0	3.0	61.0	60.0	7.0	41.0					5.0
IRIS_313-9283	TAK_SUFAID::IRGC_73127-1	9.0	2.0	5.0	2.0	3.0	3.0	2.0				71.0		70.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	20.0	5.0	7.0		5.0	1.0	70.0	1.0	70.0	4.0	3.0	61.0	60.0	3.0	60.0	4.0		2.0	1.0	5.0
IRIS_313-9368	CHANDARHAT::IRGC_25845-1	1.0	2.0	5.0	2.0	4.0	3.0	1.0				80.0		20.0				3.0		60.0	60.0	3.0	1.0		5.0		11.0		42.0		9.0		9.0	2.0	70.0		20.0	4.0	3.0	61.0	63.0	9.0	80.0					5.0
IRIS_313-9422	CHUNGUR_BALI::IRGC_25855-1	0.0	1.0	4.0	3.0	3.0	3.0	1.0				10.0		0.0				3.0		60.0	60.0	7.0	1.0		3.0		11.0		53.0		9.0		9.0	3.0	70.0		20.0	4.0	3.0	61.0	60.0	7.0	60.0					5.0
IRIS_313-9610	DANGAR::IRGC_76296-1	1.0	1.0	4.0	3.0	3.0	3.0	2.0			20.0	20.0		20.0				3.0		60.0	61.0	3.0	1.0		3.0		11.0	3.0	42.0	4.0	5.0		7.0	3.0	10.0	1.0	20.0	4.0	3.0	61.0	60.0	3.0	41.0	1.0	60.0	2.0	5.0	5.0
IRIS_313-9626	KALIA::IRGC_34699-1	0.0	1.0	5.0	2.0	3.0	2.0	2.0				70.0		0.0				3.0		60.0	60.0	1.0	1.0		5.0		11.0		100.0		9.0		9.0	3.0	70.0			4.0	3.0	61.0	61.0	7.0	60.0					5.0
IRIS_313-9636	PODI_HEENATI::IRGC_36345-1	1.0	1.0	3.0	2.0	3.0	3.0	2.0				70.0		70.0				3.0		60.0	60.0	3.0	1.0		3.0		11.0		54.0		9.0		3.0	3.0	70.0			4.0	3.0	61.0	60.0	7.0	60.0					5.0
IRIS_313-9661	LENJA_MURALI::IRGC_66815-1	1.0	1.0	3.0	2.0	3.0	3.0	2.0				20.0		20.0				3.0		60.0	61.0	5.0	1.0		5.0		11.0	3.0	20.0	4.0	3.0		7.0	3.0	70.0	1.0	20.0	4.0	3.0	61.0	60.0	5.0	41.0	7.0		2.0	1.0	9.0
IRIS_313-10020	HODARAWALA::IRGC_67631-1	9.0	1.0	5.0	2.0	3.0	3.0	2.0				20.0		20.0				3.0		60.0	61.0	3.0	1.0		3.0		11.0	3.0	100.0	2.0	5.0		7.0	2.0	70.0	1.0	20.0	4.0	3.0	61.0	60.0	5.0	41.0	6.0		2.0	1.0	4.0
IRIS_313-8253	KHAO_DAWK_MALI_105::IRGC_27748-2	0.0	1.0	6.0	2.0	4.0	3.0	2.0				10.0		0.0				3.0		60.0	60.0	3.0	1.0		5.0		11.0		20.0		9.0		3.0	3.0	10.0		20.0	4.0	3.0	61.0	60.0	9.0	60.0					1.0
